Week,Team,Score,Opponent,Score,Misc,Manage
Week 16,Barbeque Chicken,196.86,Team Hyatt,214.20,Championship Game,Open options
Week 16,Team Rivers,151.10,Tibbetts Squad,174.96,Playoff Game,Open options
Week 16,Suck My Cheznuts,279.78,Team sprague,248.40,Consolation Game,Open options
Week 16,Team Fax,181.00,Team Infantino,227.46,Consolation Game,Open options
Week 16,South Side Boys,193.00,Team Cote,248.56,Consolation Game,Open options
Week 14,Team Rivers,208.56,Team Hyatt,281.74,Playoff Game,Open options
Week 14,Barbeque Chicken,242.60,Tibbetts Squad,211.58,Playoff Game,Open options
Week 14,Team Infantino,253.34,Team sprague,294.68,Consolation Game,Open options
Week 14,Team Cote,223.52,Suck My Cheznuts,236.62,Consolation Game,Open options
Week 14,South Side Boys,141.62,Team Fax,279.96,Consolation Game,Open options
Week 13,Team Fax,120.98,Team sprague,121.50,,Open options
Week 13,Suck My Cheznuts,112.38,Team Infantino,73.22,,Open options
Week 13,Team Cote,129.78,Barbeque Chicken,136.94,,Open options
Week 13,South Side Boys,71.12,Tibbetts Squad,117.36,,Open options
Week 13,Team Hyatt,146.02,Team Rivers,135.74,,Open options
Week 12,Team Infantino,137.58,Team Fax,88.26,,Open options
Week 12,Suck My Cheznuts,135.50,South Side Boys,93.78,,Open options
Week 12,Team Rivers,113.12,Barbeque Chicken,124.78,,Open options
Week 12,Team sprague,151.94,Team Cote,133.62,,Open options
Week 12,Team Hyatt,123.28,Tibbetts Squad,118.54,,Open options
Week 11,Team Rivers,133.20,Team sprague,111.08,,Open options
Week 11,South Side Boys,91.80,Team Fax,83.70,,Open options
Week 11,Team Hyatt,146.52,Barbeque Chicken,169.38,,Open options
Week 11,Suck My Cheznuts,117.16,Tibbetts Squad,118.50,,Open options
Week 11,Team Cote,115.22,Team Infantino,106.20,,Open options
Week 10,Suck My Cheznuts,121.96,Barbeque Chicken,153.50,,Open options
Week 10,Team Rivers,123.16,Team Cote,108.02,,Open options
Week 10,Team Infantino,93.14,South Side Boys,74.50,,Open options
Week 10,Team sprague,92.34,Team Hyatt,122.08,,Open options
Week 10,Tibbetts Squad,95.76,Team Fax,113.04,,Open options
Week 9,Team Hyatt,90.36,Team Cote,131.08,,Open options
Week 9,Team Infantino,93.28,Tibbetts Squad,126.82,,Open options
Week 9,Suck My Cheznuts,122.24,Team Fax,128.06,,Open options
Week 9,South Side Boys,83.22,Team Rivers,76.72,,Open options
Week 9,Team sprague,27.88,Barbeque Chicken,74.38,,Open options
Week 8,Team Cote,129.88,Tibbetts Squad,99.96,,Open options
Week 8,Team Fax,101.72,Team Hyatt,123.64,,Open options
Week 8,Team Infantino,124.82,Barbeque Chicken,124.82,,Open options
Week 8,Suck My Cheznuts,101.42,Team Rivers,109.78,,Open options
Week 8,South Side Boys,108.66,Team sprague,118.62,,Open options
Week 7,South Side Boys,48.82,Team Hyatt,126.52,,Open options
Week 7,Suck My Cheznuts,129.26,Team sprague,156.58,,Open options
Week 7,Team Infantino,117.96,Team Rivers,119.48,,Open options
Week 7,Tibbetts Squad,85.64,Barbeque Chicken,155.02,,Open options
Week 7,Team Cote,124.22,Team Fax,157.96,,Open options
Week 6,South Side Boys,137.12,Team Cote,133.64,,Open options
Week 6,Team Fax,102.18,Barbeque Chicken,126.50,,Open options
Week 6,Tibbetts Squad,101.54,Team Rivers,124.84,,Open options
Week 6,Team Infantino,109.68,Team sprague,116.40,,Open options
Week 6,Suck My Cheznuts,124.68,Team Hyatt,128.42,,Open options
Week 5,Tibbetts Squad,143.12,South Side Boys,114.84,,Open options
Week 5,Team Infantino,103.12,Suck My Cheznuts,104.96,,Open options
Week 5,Team Hyatt,109.94,Team Cote,91.72,,Open options
Week 5,Team sprague,117.26,Barbeque Chicken,104.30,,Open options
Week 5,Team Rivers,149.46,Team Fax,119.84,,Open options
Week 4,South Side Boys,97.88,Suck My Cheznuts,116.06,,Open options
Week 4,Barbeque Chicken,80.40,Team Cote,134.00,,Open options
Week 4,Team Infantino,114.48,Team Fax,88.68,,Open options
Week 4,Team Rivers,114.72,Team Hyatt,136.76,,Open options
Week 4,Team sprague,109.88,Tibbetts Squad,82.82,,Open options
Week 3,Team Infantino,139.02,Team Hyatt,135.92,,Open options
Week 3,South Side Boys,139.76,Team Fax,121.52,,Open options
Week 3,Barbeque Chicken,128.50,Team Rivers,107.50,,Open options
Week 3,Suck My Cheznuts,143.26,Tibbetts Squad,146.10,,Open options
Week 3,Team Cote,144.92,Team sprague,60.82,,Open options
Week 2,Team Infantino,113.28,South Side Boys,75.78,,Open options
Week 2,Tibbetts Squad,109.84,Team Fax,111.70,,Open options
Week 2,Team sprague,125.20,Team Rivers,144.52,,Open options
Week 2,Team Hyatt,149.72,Barbeque Chicken,77.56,,Open options
Week 2,Team Cote,102.92,Suck My Cheznuts,142.08,,Open options
Week 1,Barbeque Chicken,132.54,South Side Boys,112.60,,Open options
Week 1,Tibbetts Squad,104.04,Team Infantino,100.88,,Open options
Week 1,Team sprague,96.08,Team Hyatt,116.14,,Open options
Week 1,Suck My Cheznuts,116.88,Team Fax,121.86,,Open options
Week 1,Team Rivers,112.24,Team Cote,74.62,,Open options
